,Unnamed: 0,x,y,mannual_label,correct_label
0,Digit 2,0.9335995,34.67268,-,Digit 2
1,Digit 7,25.328316,-17.343037,-,Digit 7
10,Digit 3,-6.80356,8.594544,-,Digit 3
100,Digit 1,31.595888,19.581446,-,Digit 1
1000,Digit 9,0.0748327,-27.68266,-,Digit 9
1001,Digit 9,23.207525,-11.161225,-,Digit 9
1002,Digit 3,-8.131259,8.982342,-,Digit 3
1003,Digit 9,-10.04981,6.705488,-,Digit 9
1004,Digit 8,6.5593777,-24.638563,-,Digit 8
1005,Digit 1,20.790321,23.789457,-,Digit 1
1006,Digit 1,17.177011,32.453053,-,Digit 1
1007,Digit 9,22.297968,-11.049795,-,Digit 9
1008,Digit 2,-4.949473,30.11585,-,Digit 2
1009,Digit 7,34.93746,10.027157,-,Digit 7
101,Digit 9,6.924839,-21.046278,-,Digit 9
1010,Digit 0,-29.202482,8.384265,0,Digit 0
1011,Digit 4,-4.8910275,-35.36314,-,Digit 4
1012,Digit 0,-37.83827,-4.0140414,0,Digit 0
1013,Digit 9,1.0393016,-22.178732,-,Digit 9
1014,Digit 7,30.827806,-8.836386,-,Digit 7
1015,Digit 3,-20.140009,7.646716,-,Digit 3
1016,Digit 3,-16.18556,15.468115,-,Digit 3
1017,Digit 2,7.664934,28.86204,-,Digit 2
1018,Digit 8,7.873534,14.74322,-,Digit 8
1019,Digit 1,20.35577,25.678356,-,Digit 1
102,Digit 3,-22.155556,22.28443,-,Digit 3
1020,Digit 6,-20.960089,-23.183617,-,Digit 6
1021,Digit 1,29.699547,19.050482,-,Digit 1
1022,Digit 6,-19.937943,-22.675373,-,Digit 6
1023,Digit 2,7.363507,24.785072,-,Digit 2
1024,Digit 0,-40.375893,3.9406712,0,Digit 0
1025,Digit 9,22.585623,-11.021758,-,Digit 9
1026,Digit 3,-14.903521,16.860447,-,Digit 3
1027,Digit 7,29.366892,-18.478828,-,Digit 7
1028,Digit 4,15.89712,-4.0700064,-,Digit 4
1029,Digit 2,4.0299287,28.087126,-,Digit 2
103,Digit 1,18.029512,24.66012,-,Digit 1
1030,Digit 4,11.74627,-8.899031,-,Digit 4
1031,Digit 9,19.132254,-14.473729,-,Digit 9
1032,Digit 4,10.645885,-26.265537,-,Digit 4
1033,Digit 9,5.4294205,-23.767424,-,Digit 9
1034,Digit 0,-35.97081,-5.3922505,0,Digit 0
1035,Digit 7,24.347038,-26.98718,-,Digit 7
1036,Digit 8,3.3019855,-31.43849,-,Digit 8
1037,Digit 0,-39.625896,-1.9092388,0,Digit 0
1038,Digit 3,-12.865216,13.234445,-,Digit 3
1039,Digit 4,7.5188465,-9.235344,-,Digit 4
104,Digit 2,-2.9029005,28.186438,-,Digit 2
1040,Digit 4,4.327855,-16.577888,-,Digit 4
1041,Digit 0,-28.791376,6.4052916,0,Digit 0
1042,Digit 4,-2.0843222,-32.495537,-,Digit 4
1043,Digit 0,-35.62622,-1.9266514,0,Digit 0
1044,Digit 1,33.87863,2.553027,-,Digit 1
1045,Digit 8,8.446009,7.490971,-,Digit 8
1046,Digit 5,-12.27269,-1.2064022,-,Digit 5
1047,Digit 9,4.830884,-15.436704,-,Digit 9
1048,Digit 7,23.695955,-20.692406,-,Digit 7
1049,Digit 5,2.7710178,-2.293774,-,Digit 5
105,Digit 8,0.3538184,12.691609,-,Digit 8
1050,Digit 7,23.466642,-30.404491,-,Digit 7
1051,Digit 0,-33.165516,-3.098507,0,Digit 0
1052,Digit 2,-6.525468,36.31087,-,Digit 2
1053,Digit 6,-19.501186,-23.899963,-,Digit 6
1054,Digit 8,-0.0052523,10.54609,-,Digit 8
1055,Digit 0,-33.83718,-5.1515074,0,Digit 0
1056,Digit 5,0.6579989,-4.3522243,-,Digit 5
1057,Digit 3,-20.21465,8.395739,-,Digit 3
