,x,y,mannual_label,correct_label
Digit 2,0.0015871512,0.238636,-,Digit 2
Digit 7,0.4316483,-0.38059402,-,Digit 7
Digit 1,0.5986548,0.35857323,-,Digit 1
Digit 3,-0.35381985,0.22128417,-,Digit 3
Digit 5,-0.2525306,0.04627687,-,Digit 5
Digit 3,-0.30363822,0.14927877,-,Digit 3
Digit 8,-0.082135074,0.123141,-,Digit 8
Digit 6,-0.48893076,0.13612431,-,Digit 6
Digit 7,0.39003953,-0.54230237,-,Digit 7
Digit 0,-0.74292684,0.1045186,-,Digit 0
Digit 3,0.0006155035,0.11085076,-,Digit 3
Digit 3,-0.23617496,0.19103582,-,Digit 3
Digit 1,0.59431636,0.41451398,-,Digit 1
Digit 2,0.05441809,0.17745876,-,Digit 2
Digit 1,0.50782526,0.33908236,-,Digit 1
Digit 0,-0.86243516,0.13176993,-,Digit 0
Digit 0,-0.7407114,0.09911121,-,Digit 0
Digit 3,-0.24041557,0.20305735,-,Digit 3
Digit 9,0.16171792,-0.43771672,-,Digit 9
Digit 0,-0.881103,0.13150547,-,Digit 0
Digit 0,-0.6800359,0.10021193,-,Digit 0
Digit 7,0.4389945,-0.39406708,-,Digit 7
Digit 6,-0.5591784,0.106409974,-,Digit 6
Digit 7,0.44216344,-0.49138868,-,Digit 7
Digit 7,0.45642942,-0.47562468,-,Digit 7
Digit 7,0.44514054,-0.42710552,-,Digit 7
Digit 0,-0.894503,0.14611211,-,Digit 0
Digit 8,-0.33007133,0.13903962,-,Digit 8
Digit 2,0.17122376,-0.048924666,-,Digit 2
Digit 0,-0.8766659,0.14680807,-,Digit 0
Digit 1,0.4712324,0.25423637,-,Digit 1
Digit 3,-0.26659343,0.13365541,-,Digit 3
Digit 7,0.38646516,-0.39533108,-,Digit 7
Digit 1,0.5539977,0.30953255,-,Digit 1
Digit 3,-0.37172547,0.21542528,-,Digit 3
Digit 2,0.050708026,0.26953152,-,Digit 2
Digit 3,-0.32228845,0.17776813,-,Digit 3
Digit 0,-0.8907111,0.1424867,-,Digit 0
Digit 0,-0.5677749,0.13692048,-,Digit 0
Digit 7,0.34321916,-0.44926882,-,Digit 7
Digit 5,-0.35205603,0.13708195,-,Digit 5
Digit 3,-0.26202095,0.11701085,-,Digit 3
Digit 8,-0.3483352,0.1388916,-,Digit 8
Digit 9,0.2423742,-0.3726664,-,Digit 9
Digit 6,-0.343275,0.12442001,-,Digit 6
Digit 3,-0.3599007,0.14828572,-,Digit 3
Digit 7,0.599803,0.34410474,-,Digit 7
Digit 4,0.049510144,-0.35976896,-,Digit 4
Digit 4,0.28416404,-0.34609893,-,Digit 4
Digit 8,0.08340006,0.05786223,-,Digit 8
