names,x,y,manual_label,correct_label,x3,y3,x4,y4
Digit 2,0.9335995,34.67268,-,Digit 2,17.1019,3.6875,-11.2479,8.436
Digit 7,25.328316,-17.343037,-,Digit 7,16.4618,-4.9831,2.3704,1.3991
Digit 1,29.725433,16.650507,-,Digit 1,0.1516,-18.3263,-7.67,-19.1876
Digit 3,-17.481684,20.676216,-,Digit 3,17.3014,-9.3113,-14.8074,19.9487
Digit 5,-10.580127,0.7325355,-,Digit 5,5.4364,8.7862,18.3756,6.6732
Digit 3,-16.901793,9.302485,-,Digit 3,-18.7036,6.8454,16.6204,-0.9604
Digit 8,-1.1357753,8.993697,-,Digit 8,-18.8928,15.6208,8.8878,-8.6465
Digit 6,-21.810059,-12.258289,-,Digit 6,-13.8694,5.2335,-16.6737,-14.8871
Digit 7,20.368908,-25.618021,-,Digit 7,-10.8235,3.9423,10.5001,-17.7447
Digit 0,-38.487957,-6.3861065,-,Digit 0,-1.485,10.6484,-0.0065,6.4944
Digit 3,-6.80356,8.594544,-,Digit 3,4.0721,-11.1185,12.9594,-12.1145
Digit 3,-14.682464,23.055588,-,Digit 3,-10.8465,-2.0719,-10.2703,-17.6168
Digit 1,23.317448,26.35751,-,Digit 1,19.4325,-13.841,-5.6409,12.1511
Digit 2,-5.5731344,29.876577,-,Digit 2,7.8571,-12.7735,14.2654,20.4805
Digit 1,22.12767,29.932766,-,Digit 1,-4.4659,3.4423,13.4993,17.0138
Digit 0,-35.160706,-0.59474194,-,Digit 0,16.1185,6.1081,-4.8836,6.317
Digit 0,-40.727547,3.9409332,-,Digit 0,-3.1648,20.0472,-11.6266,-5.7942
Digit 3,-13.817628,21.844215,-,Digit 3,-7.6265,-18.2715,-17.8285,-17.3096
Digit 9,0.2674041,-26.972754,-,Digit 9,8.7139,-2.1766,-10.4222,0.0004
Digit 0,-40.922752,-2.3916945,-,Digit 0,19.9233,-11.9282,-6.3301,13.8279
Digit 0,-35.63168,13.759439,-,Digit 0,6.8115,-19.5151,15.3446,15.1924
Digit 7,31.671892,-15.417097,-,Digit 7,10.6907,-14.5614,-0.1599,11.2398
Digit 6,-25.865435,-18.679512,-,Digit 6,-13.5137,-1.2554,19.1403,-3.842
Digit 7,25.740181,-21.81984,-,Digit 7,17.8455,6.4345,-11.3037,-6.5602
Digit 7,29.937483,-19.468863,-,Digit 7,4.3655,8.8125,-10.7487,12.9589
Digit 7,26.213272,-18.009224,-,Digit 7,-5.3686,7.97,-11.1615,0.8827
Digit 0,-37.887196,5.558256,-,Digit 0,-0.6954,-16.0726,-9.937,12.3083
Digit 8,-16.801865,4.7894254,-,Digit 8,-5.073,6.3724,-19.1868,-18.3731
Digit 2,6.972235,-3.8547328,-,Digit 2,-7.4686,-2.8059,-12.2454,13.9464
Digit 0,-37.587425,5.153963,-,Digit 0,-17.2831,-2.6878,-7.0143,12.2159
Digit 1,30.59175,8.278121,-,Digit 1,10.529,9.6813,-18.3679,-16.3436
Digit 3,-14.44036,7.7048197,-,Digit 3,12.4639,-18.9608,-5.2717,6.1267
Digit 7,33.481037,-17.514505,-,Digit 7,6.9671,4.9126,1.7485,13.9548
Digit 1,32.21672,10.328873,-,Digit 1,-19.5367,1.7769,-8.04,16.5696
Digit 3,-20.777857,15.075246,-,Digit 3,-11.5862,-14.1493,9.7748,2.17
Digit 2,7.1145973,24.522236,-,Digit 2,-19.2024,7.1132,7.0295,4.3756
Digit 3,-10.016646,11.841471,-,Digit 3,-15.3301,0.4982,-3.9201,-4.0723
Digit 0,-37.72666,4.8933597,-,Digit 0,-2.6041,20.7586,-12.2668,3.1505
Digit 0,-28.326147,7.886243,-,Digit 0,5.3807,9.1409,13.5152,13.3198
Digit 7,18.514235,-28.669924,-,Digit 7,9.0659,15.4193,2.1688,3.8674
Digit 5,-15.874979,-2.4322984,-,Digit 5,14.0068,-13.5535,9.1275,-0.8155
Digit 3,-10.632207,8.856353,-,Digit 3,15.3003,-4.322,9.5459,2.6234
Digit 8,-16.642794,3.3681035,-,Digit 8,-6.8918,-10.6638,12.2001,20.9401
Digit 9,7.288822,-20.106644,-,Digit 9,17.4814,-10.5405,-19.4733,-16.49
Digit 6,-19.80662,-8.033836,-,Digit 6,-1.3261,-6.1513,6.7248,8.2624
Digit 3,-18.488838,7.698765,-,Digit 3,15.337,13.0334,-9.0628,16.3985
Digit 7,28.396551,21.622435,-,Digit 7,10.6516,-9.5422,17.8055,2.0808
Digit 4,-6.6560173,-31.277523,-,Digit 4,-2.0065,-13.6568,-3.7537,16.1133
Digit 4,14.940049,-7.5453014,-,Digit 4,3.0032,-17.158,-15.1182,8.8919
Digit 8,5.5802026,11.298959,-,Digit 8,14.8476,-5.1727,17.8996,-16.0136
Digit 6,-23.79412,-13.984553,-,Digit 6,-0.7543,18.0041,-18.631,13.8694
Digit 4,1.0541879,-17.496235,-,Digit 4,2.9188,7.9501,5.85,-18.2887
Digit 3,-18.07202,9.724501,-,Digit 3,6.2558,14.1654,0.0551,-10.9719
Digit 5,-13.184796,-2.4173985,-,Digit 5,4.3922,16.8137,-2.0516,-3.5223
Digit 7,28.176737,-22.023838,-,Digit 7,2.1892,17.9958,17.5859,-10.6612
Digit 8,-1.4582574,9.204111,-,Digit 8,11.6596,2.6451,-7.4748,2.9705
Digit 4,17.268091,-6.552551,-,Digit 4,-8.8821,-17.3487,2.1599,14.985
Digit 9,3.7495644,-23.069515,-,Digit 9,-4.7104,-2.1189,14.833,11.0723
Digit 7,29.085339,-5.5577345,-,Digit 7,11.147,7.907,17.3977,5.5651
Digit 9,14.588555,-17.67934,-,Digit 9,-11.4728,-0.4278,13.3622,-4.3778
Digit 8,15.491094,10.981453,-,Digit 8,14.6918,1.8224,19.3618,-8.5489
Digit 0,-31.304108,0.17769039,-,Digit 0,11.3613,13.2589,13.4382,-19.7222
Digit 2,-0.2398712,29.534695,-,Digit 2,-13.0812,-13.6498,13.256,-16.9512
Digit 9,24.527275,18.020262,-,Digit 9,9.7913,-15.9815,-13.4329,-19.3156
Digit 5,-14.115619,0.8790087,-,Digit 5,-14.1949,14.7301,13.7215,19.7143
Digit 6,-25.124306,-9.577791,-,Digit 6,3.0417,0.8415,-3.3461,-19.8773
Digit 7,32.78799,-17.249962,-,Digit 7,-5.3447,14.4596,-19.9775,-17.3773
Digit 4,19.409138,-5.4126897,-,Digit 4,-11.4,-19.4552,-3.3403,8.4375
Digit 2,-1.1173347,33.814762,-,Digit 2,1.5521,-4.5744,16.0727,6.4841
Digit 9,-10.590007,-29.80766,-,Digit 9,-2.0368,4.7649,5.7779,-13.3892
Digit 7,22.91769,-26.590984,-,Digit 7,-16.3739,0.2213,16.8434,-11.5441
Digit 9,19.101952,-11.09323,-,Digit 9,-11.5474,13.3319,8.4684,-11.8521
Digit 6,-22.907495,-28.04681,-,Digit 6,10.7845,16.5676,19.122,5.2893
Digit 3,-15.483993,17.402517,-,Digit 3,14.6476,-16.5659,6.5307,-7.3538
Digit 9,17.91602,8.618283,-,Digit 9,-15.9444,9.9539,-2.4224,-5.7985
Digit 3,-18.120766,17.943316,-,Digit 3,-16.141,-2.247,19.687,14.0191
Digit 5,0.16816567,-11.2455,-,Digit 5,16.647,-5.7586,18.0958,-11.2109
Digit 9,10.723086,-23.108826,-,Digit 9,6.7016,19.3471,-3.6426,13.1197
Digit 7,30.81814,-17.427826,-,Digit 7,19.7377,-0.352,-10.0516,-5.1335
Digit 2,-4.2448053,32.98717,-,Digit 2,-19.4699,-14.2922,10.6299,-18.143
Digit 2,-10.411421,37.119347,-,Digit 2,7.1331,14.5396,0.1892,-11.2595
Digit 8,17.563675,8.135997,-,Digit 8,18.9127,-19.0966,20.8197,17.4994
Digit 8,3.6887398,13.101964,-,Digit 8,-13.5293,1.448,9.8808,11.5894
Digit 9,7.176186,-24.197224,-,Digit 9,4.5348,19.3844,-11.6233,-17.1383
Digit 1,18.800606,24.53509,-,Digit 1,-16.7832,11.5653,-2.4945,19.2322
Digit 8,-3.5915341,4.5075216,-,Digit 8,-6.3371,9.3133,-5.3108,7.8694
Digit 4,11.757495,-9.7817955,-,Digit 4,18.4175,5.2835,12.6523,9.1706
Digit 7,33.649944,-16.950022,-,Digit 7,6.2941,18.8609,8.8327,-4.3202
Digit 0,-33.682865,9.257465,-,Digit 0,-6.8761,6.4527,16.9873,-3.0604
Digit 3,-15.134798,7.479502,-,Digit 3,2.7476,20.0784,16.3938,17.2565
Digit 5,0.21597013,-3.2335505,-,Digit 5,15.7591,-5.6942,4.4319,14.1621
Digit 7,28.712618,-14.652779,-,Digit 7,-7.2296,5.3455,9.3046,-16.1059
Digit 5,2.4209497,-2.766395,-,Digit 5,5.0317,-17.1164,-0.9494,8.8749
Digit 6,-20.705965,-17.298555,-,Digit 6,-11.3475,-4.3564,19.7217,12.6401
Digit 0,-28.981302,7.799752,-,Digit 0,12.6886,-12.5063,16.3085,-11.7165
Digit 4,11.6974125,-6.516945,-,Digit 4,3.7798,-12.2891,9.6656,-1.1056
Digit 6,-22.359083,-11.598306,-,Digit 6,-2.6683,-15.3858,4.1049,-16.2938
Digit 1,24.343517,12.952502,-,Digit 1,-14.6303,-14.2581,13.7616,-15.7805
Digit 0,-30.421871,-4.3000097,-,Digit 0,5.0562,2.4836,19.2717,17.9355
Digit 8,8.486887,14.486705,-,Digit 8,-11.7352,-18.8889,-18.8853,11.6837
Digit 1,31.595888,19.581446,-,Digit 1,6.5566,13.9609,8.3133,-19.7186
Digit 9,6.924839,-21.046278,-,Digit 9,-1.243,-6.5817,8.91,1.5307
Digit 3,-22.155556,22.28443,-,Digit 3,-19.5584,-9.8435,-4.0395,14.8832
Digit 1,18.029512,24.66012,-,Digit 1,-1.0131,0.3642,-4.7762,10.6358
Digit 2,-2.9029005,28.186438,-,Digit 2,-17.2798,-7.1236,11.512,19.7676
Digit 8,0.35381836,12.691609,-,Digit 8,14.4243,-13.2853,-7.5748,-19.2023
Digit 3,-2.8563075,16.531574,-,Digit 3,0.3934,16.8685,19.8642,-7.5087
Digit 1,23.368687,25.03891,-,Digit 1,1.3162,11.5193,11.7261,18.1175
Digit 6,-18.83233,-17.737135,-,Digit 6,-2.1493,-18.3062,4.6573,10.4604
Digit 7,20.72969,-21.002182,-,Digit 7,1.6436,10.5507,-11.8719,16.1321
Digit 7,29.628122,-24.914732,-,Digit 7,-8.7159,-14.1235,15.9138,9.1183
Digit 2,-2.399669,30.212227,-,Digit 2,19.8476,14.3485,-11.5714,-5.7342
Digit 5,-10.267223,-5.697202,-,Digit 5,-2.238,6.5674,2.8506,-5.4581
Digit 2,-5.0445757,33.2357,-,Digit 2,17.0769,5.7313,3.2996,-17.3111
Digit 3,-13.238831,17.795765,-,Digit 3,14.0689,14.4943,14.1605,-15.3703
Digit 3,-18.763252,14.2512665,-,Digit 3,-13.775,12.3744,-13.0004,-11.0648
Digit 7,29.721905,-9.471136,-,Digit 7,18.638,5.2328,12.2501,-14.5061
Digit 3,-8.528891,18.00663,-,Digit 3,13.3275,17.0014,7.3465,4.4512
Digit 3,-9.941568,13.853569,-,Digit 3,9.4116,6.4767,-6.8354,-12.3354
Digit 3,-13.322629,13.067934,-,Digit 3,-0.0141,-1.0571,-12.5969,-11.9482
Digit 2,-11.744813,34.191513,-,Digit 2,-7.3156,-10.2722,17.342,18.3687
